opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,sector,revenue,employees,office_location,manager,regional_office,close_value_capped,revenue_capped,is_won,sales_cycle_days,close_year_quarter,is_closed
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2023-10-20,2024-03-01,1054.0,retail,718.62,2448.0,United States,Dustin Brinkmann,Central,1054.0,718.62,1,133.0,2024Q1,1
Z063OYW0,Darcel Schlecht,GTX Pro,Isdom,Won,2023-10-25,2024-03-11,4514.0,medical,3178.24,4540.0,United States,Melvin Marxen,Central,4514.0,3178.24,1,138.0,2024Q1,1
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,2023-10-25,2024-03-07,50.0,retail,718.62,2448.0,United States,Melvin Marxen,Central,50.0,718.62,1,134.0,2024Q1,1
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2023-10-25,2024-03-09,588.0,software,2714.9,2641.0,United States,Dustin Brinkmann,Central,588.0,2714.9,1,136.0,2024Q1,1
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,2023-10-25,2024-03-02,517.0,services,792.46,1299.0,United States,Summer Sewald,West,517.0,792.46,1,129.0,2024Q1,1
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,2023-10-29,2024-03-01,49.0,medical,3922.42,6837.0,United States,Dustin Brinkmann,Central,49.0,3922.42,1,124.0,2024Q1,1
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,2023-10-30,2024-03-02,57.0,retail,1388.67,3583.0,United States,Celia Rouche,West,57.0,1388.67,1,124.0,2024Q1,1
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,2023-11-01,2024-03-07,601.0,entertainment,4269.9,6472.0,United States,Celia Rouche,West,601.0,4269.9,1,127.0,2024Q1,1
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2023-11-01,2024-03-03,1026.0,medical,441.08,1210.0,United States,Melvin Marxen,Central,1026.0,441.08,1,123.0,2024Q1,1
HAXMC4IX,James Ascencio,MG Advanced,Unassigned Account,Engaging,2023-11-03,,,Unassigned Sector,1698.2,3492.0,Unknown Location,Summer Sewald,West,,1698.2,0,,,0
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,2023-11-04,2024-03-10,53.0,medical,587.34,1356.0,Philipines,Dustin Brinkmann,Central,53.0,587.34,1,127.0,2024Q1,1
KWVA7VR1,Gladys Colclough,GTX Pro,Genco Pura Olive Oil Company,Lost,2023-11-04,2024-03-18,0.0,retail,894.33,1635.0,Italy,Melvin Marxen,Central,0.0,894.33,0,135.0,2024Q1,1
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2023-11-04,2024-03-10,5169.0,marketing,894.37,1593.0,Poland,Summer Sewald,West,5169.0,894.37,1,127.0,2024Q1,1
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,2023-11-04,2024-03-06,4631.0,telecommunications,1699.85,5108.0,United States,Summer Sewald,West,4631.0,1699.85,1,123.0,2024Q1,1
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,2023-11-05,2024-03-11,3393.0,employment,2059.9,3644.0,United States,Celia Rouche,West,3393.0,2059.9,1,127.0,2024Q1,1
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,2023-11-05,2024-03-03,0.0,telecommunications,1699.85,5108.0,United States,Celia Rouche,West,0.0,1699.85,0,119.0,2024Q1,1
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2023-11-05,2024-03-06,3284.0,software,6354.87,16780.0,United States,Celia Rouche,West,3284.0,6354.87,1,122.0,2024Q1,1
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,2023-11-06,2024-03-05,61.0,telecommunications,5266.09,8595.0,United States,Dustin Brinkmann,Central,61.0,5266.09,1,120.0,2024Q1,1
