opportunity_id,sales_agent,manager,regional_office,product,account,sector,office_location,engage_date,close_date,deal_stage,deal_value_proposed,close_value,revenue,employees,sales_cycle_days,is_won,is_closed,close_year_quarter
SYN000000,Corliss Marconi,Rocco Neubert,Central,GTX Basic,Account_0339,employment,Japan,2023-05-08,,Engaging,3045.58,,290695.23,5344,,0,0,
SYN000001,Wilburn Grunwald,Cara Losch,West,GTX Plus Pro,Account_0241,technology,Australia,2025-08-21,2025-11-06,Won,4294.71,3774.8,269089.42,4302,77.0,1,1,2025Q4
SYN000002,Zane Cordell,Dustin Brinkmann,West,MG Emperor,Account_0103,medical,United States,2025-08-02,2025-12-01,Lost,4767.95,0.0,296195.9,5246,121.0,0,1,2025Q4
SYN000003,Gaston Sturm,Rocco Neubert,Central,GTX Plus Basic,Account_0154,medical,United States,2024-07-05,2024-10-07,Lost,5246.79,0.0,254923.13,4439,94.0,0,1,2024Q4
SYN000004,Jonathan Marconi,Rocco Neubert,East,GTK 500,Account_0218,finance,Australia,2025-03-05,,Engaging,4733.83,,291361.62,4795,,0,0,
SYN000005,Marty Vinning,Melvin Marxen,Central,MG Emperor,Account_0411,marketing,United Kingdom,2025-12-03,2026-01-27,Won,2469.91,2180.34,160665.43,2002,55.0,1,1,2026Q1
SYN000006,Jonathan Hendon,Rosalind Dwyer,East,GTK Pro,Account_0307,services,Australia,2024-04-17,,Engaging,3070.82,,83265.73,459,,0,0,
SYN000007,Gaston Purl,Melvin Marxen,East,MG Special,Account_0168,employment,Germany,2023-09-08,2023-10-31,Won,2618.81,2709.21,138740.0,1518,53.0,1,1,2023Q4
SYN000008,Gaston Sturm,Rocco Neubert,West,GTK Pro,Account_0406,retail,Australia,2023-05-11,2023-07-03,Lost,2366.02,0.0,151973.41,1909,53.0,0,1,2023Q3
SYN000009,Gaston Purl,Melvin Marxen,East,MG Emperor,Account_0329,medical,Germany,2024-02-14,2024-05-30,Lost,4593.1,0.0,71437.3,359,106.0,0,1,2024Q2
SYN000010,Gaston Nicholson,Summer Sewald,Central,MG Advanced,Account_0465,medical,Canada,2024-03-19,2024-07-09,Lost,4759.21,0.0,251557.21,4628,112.0,0,1,2024Q3
SYN000011,Zane Sturm,Rosalind Dwyer,Central,GTK Pro,Account_0253,marketing,Australia,2024-04-14,2024-06-16,Won,3268.19,2779.76,320000.0,5796,63.0,1,1,2024Q2
SYN000012,Gaston Nicholson,Summer Sewald,West,GTK 500,Account_0489,finance,Canada,2024-02-19,,Engaging,4915.25,,299151.34,5608,,0,0,
SYN000013,Kami Herrold,Cara Losch,Central,GTX Plus Basic,Account_0361,services,Japan,2023-08-20,2023-10-12,Won,3654.71,3735.28,199904.4,3455,53.0,1,1,2023Q4
SYN000014,Kami Cordell,Summer Sewald,East,GTX Plus Basic,Account_0423,software,Canada,2024-11-17,2025-02-01,Lost,4473.08,0.0,300489.71,5496,76.0,0,1,2025Q1
SYN000015,Zane Cordell,Dustin Brinkmann,West,GTX Plus Pro,Account_0240,retail,Germany,2022-08-18,2022-10-26,Lost,3142.19,0.0,312993.85,5511,69.0,0,1,2022Q4
SYN000016,Jonathan Hendon,Rosalind Dwyer,East,MG Advanced,Account_0096,marketing,Canada,2025-10-02,2025-12-11,Won,3452.67,3134.72,256335.82,4599,70.0,1,1,2025Q4
SYN000017,Niesha Gauna,Dustin Brinkmann,West,GTX Plus Pro,Account_0250,software,United Kingdom,2025-05-27,,Engaging,4516.26,,313292.73,5961,,0,0,
SYN000018,Kary Marconi,Dustin Brinkmann,Central,MG Advanced,Account_0425,marketing,Japan,2023-04-16,,Engaging,2505.11,,71526.2,205,,0,0,
SYN000019,Boris Hendon,Summer Sewald,Central,MG Special,Account_0396,medical,Japan,2024-03-04,2024-07-03,Lost,4505.18,0.0,132092.07,1310,121.0,0,1,2024Q3
SYN000020,Boris Hendon,Summer Sewald,West,MG Emperor,Account_0293,technology,Japan,2024-08-20,2024-11-12,Won,3636.51,3162.83,202178.85,3252,84.0,1,1,2024Q4
SYN000021,Zane Cordell,Dustin Brinkmann,Central,GTK Pro,Account_0007,retail,United States,2023-01-06,2023-02-21,Won,3018.94,3076.58,187487.99,3008,46.0,1,1,2023Q1
SYN000022,Jonathan Berthelot,Summer Sewald,West,MG Emperor,Account_0187,medical,United Kingdom,2025-02-08,,Engaging,5007.31,,218605.14,3578,,0,0,
SYN000023,Vernita Everman,Cara Losch,West,MG Emperor,Account_0066,retail,Japan,2024-10-16,,Engaging,2604.85,,103195.01,1243,,0,0,
SYN000024,Corliss Marconi,Rocco Neubert,East,GTK Pro,Account_0152,technology,Canada,2024-10-09,2025-01-11,Won,4258.02,4329.31,156122.1,2143,94.0,1,1,2025Q1
SYN000025,Gaston Sturm,Rocco Neubert,Central,GTX Plus Pro,Account_0483,telecommunications,Japan,2025-09-03,2025-11-25,Lost,4399.62,0.0,167342.79,2292,83.0,0,1,2025Q4
SYN000026,Kary Marconi,Dustin Brinkmann,Central,MG Emperor,Account_0360,telecommunications,United States,2023-03-25,2023-07-07,Lost,3954.71,0.0,234781.01,3491,104.0,0,1,2023Q3
SYN000027,Corliss Marconi,Rocco Neubert,Central,MG Emperor,Account_0046,technology,United States,2025-06-18,2025-09-17,Won,3442.01,3097.8,120493.43,1287,91.0,1,1,2025Q3
SYN000028,Boris Sturm,Cara Losch,West,GTK 500,Account_0215,services,United Kingdom,2024-02-07,,Engaging,3131.39,,107152.44,1491,,0,0,
SYN000029,Boris Purl,Melvin Marxen,West,GTK 500,Account_0289,services,United States,2023-08-24,,Engaging,3056.28,,246585.31,4266,,0,0,
