sales_agent,quarter,deals_worked,win_rate,avg_deal_size,avg_cycle_days,revenue,next_quarter_revenue
Anna Herrold,2022Q1,62,0.3225806451612903,3763.5093548387094,82.5,1022449.3,3911832.24
Anna Herrold,2022Q2,56,0.2857142857142857,3658.0519642857143,76.72093023255815,3911832.24,3488918.62
Anna Herrold,2022Q3,70,0.37142857142857144,3628.335285714286,77.48387096774194,3488918.62,5052555.41
Anna Herrold,2022Q4,60,0.31666666666666665,3699.5778333333337,78.79166666666667,5052555.41,4334033.09
Anna Herrold,2023Q1,78,0.3717948717948718,3650.558205128205,77.75,4334033.09,5008592.13
Anna Herrold,2023Q2,67,0.3283582089552239,3683.6474626865675,77.08928571428571,5008592.13,4841419.78
Anna Herrold,2023Q3,60,0.4,3615.101166666667,78.81132075471699,4841419.78,3696184.57
Anna Herrold,2023Q4,69,0.42028985507246375,3509.3546376811596,73.65625,3696184.57,6970059.9399999995
Anna Herrold,2024Q1,100,0.35,3741.1363,78.67816091954023,6970059.9399999995,6203287.68
Anna Herrold,2024Q2,73,0.3835616438356164,3606.3565753424655,78.22950819672131,6203287.68,4315239.16
Anna Herrold,2024Q3,79,0.34177215189873417,3672.475316455696,79.78260869565217,4315239.16,6501627.69
Anna Herrold,2024Q4,71,0.36619718309859156,3553.9221126760563,76.66037735849056,6501627.69,3814846.0300000003
Anna Herrold,2025Q1,97,0.32989690721649484,3670.54412371134,76.88888888888889,3814846.0300000003,6124378.47
Anna Herrold,2025Q2,79,0.3924050632911392,3502.111772151899,75.96923076923076,6124378.47,6803683.46
Anna Herrold,2025Q3,90,0.3888888888888889,3669.2214444444444,77.7625,6803683.46,7977887.21
Anna Herrold,2025Q4,84,0.42857142857142855,3584.0703571428567,78.15942028985508,7977887.21,
Boris Hendon,2022Q1,72,0.4444444444444444,3514.415138888889,72.18333333333334,1654114.26,5334662.6899999995
Boris Hendon,2022Q2,48,0.3125,3619.8920833333336,83.05263157894737,5334662.6899999995,2709122.91
Boris Hendon,2022Q3,58,0.4482758620689655,3535.04724137931,74.37254901960785,2709122.91,5480089.5200000005
Boris Hendon,2022Q4,48,0.375,3659.1593749999997,75.51162790697674,5480089.5200000005,3041205.56
Boris Hendon,2023Q1,73,0.3561643835616438,3727.6742465753423,78.47540983606558,3041205.56,5802768.58
Boris Hendon,2023Q2,73,0.3972602739726027,3550.17,75.22033898305085,5802768.58,5538099.5200000005
Boris Hendon,2023Q3,69,0.3188405797101449,3758.98,80.46551724137932,5538099.5200000005,4297404.33
Boris Hendon,2023Q4,64,0.34375,3527.98265625,74.73684210526316,4297404.33,4240847.36
Boris Hendon,2024Q1,77,0.3116883116883117,3659.387142857143,81.8135593220339,4240847.36,5708303.08
Boris Hendon,2024Q2,74,0.40540540540540543,3547.382027027027,74.95161290322581,5708303.08,5139329.41
Boris Hendon,2024Q3,68,0.39705882352941174,3681.6685294117647,78.63333333333334,5139329.41,7144436.78
Boris Hendon,2024Q4,70,0.35714285714285715,3603.346714285714,77.60714285714286,7144436.78,5027363.25
Boris Hendon,2025Q1,89,0.38202247191011235,3643.455056179775,77.88732394366197,5027363.25,4781561.28
Boris Hendon,2025Q2,58,0.27586206896551724,3619.4882758620693,77.8125,4781561.28,4570386.66
Boris Hendon,2025Q3,80,0.4,3668.4527499999995,77.98461538461538,4570386.66,4720283.8100000005
Boris Hendon,2025Q4,72,0.4166666666666667,3730.863472222222,77.47540983606558,4720283.8100000005,
Boris Nicholson,2022Q1,52,0.40384615384615385,3552.0911538461537,78.0,561032.69,4463527.39
Boris Nicholson,2022Q2,50,0.5,3631.8114,76.2,4463527.39,5333706.02
Boris Nicholson,2022Q3,75,0.37333333333333335,3437.2166666666667,73.34375,5333706.02,4828153.25
Boris Nicholson,2022Q4,47,0.425531914893617,3555.9119148936165,75.79069767441861,4828153.25,4698708.03
Boris Nicholson,2023Q1,73,0.3561643835616438,3565.542191780822,76.41269841269842,4698708.03,4006697.31
Boris Nicholson,2023Q2,67,0.34328358208955223,3639.552686567164,82.20338983050847,4006697.31,5215292.34
Boris Nicholson,2023Q3,66,0.36363636363636365,3645.5010606060605,78.30909090909091,5215292.34,5169247.42
Boris Nicholson,2023Q4,78,0.32051282051282054,3691.153076923077,78.58208955223881,5169247.42,4858756.26
Boris Nicholson,2024Q1,88,0.32954545454545453,3659.1095454545457,79.3013698630137,4858756.26,3852443.74
Boris Nicholson,2024Q2,77,0.3246753246753247,3662.9406493506494,78.35483870967742,3852443.74,6003022.32
Boris Nicholson,2024Q3,60,0.31666666666666665,3674.401833333334,79.42592592592592,6003022.32,3322550.62
Boris Nicholson,2024Q4,64,0.3125,3638.19734375,79.49152542372882,3322550.62,4532911.86
Boris Nicholson,2025Q1,91,0.3516483516483517,3645.352637362638,77.8051948051948,4532911.86,5791931.5
Boris Nicholson,2025Q2,74,0.4189189189189189,3752.852162162162,79.84126984126983,5791931.5,6469791.29
Boris Nicholson,2025Q3,75,0.44,3674.6436000000003,77.12121212121212,6469791.29,6841702.74
Boris Nicholson,2025Q4,85,0.27058823529411763,3765.214117647059,79.2463768115942,6841702.74,
Boris Purl,2022Q1,65,0.3230769230769231,3700.9743076923073,78.48148148148148,1232416.26,3378976.94
Boris Purl,2022Q2,57,0.3508771929824561,3653.257719298246,74.85106382978724,3378976.94,3652386.41
Boris Purl,2022Q3,55,0.36363636363636365,3523.9687272727274,78.0,3652386.41,3482650.91
Boris Purl,2022Q4,40,0.45,3795.76575,81.84210526315789,3482650.91,4338196.59
Boris Purl,2023Q1,71,0.4084507042253521,3288.5471830985916,71.98387096774194,4338196.59,4824068.46
Boris Purl,2023Q2,61,0.3442622950819672,3605.514590163935,75.3921568627451,4824068.46,3812065.65
Boris Purl,2023Q3,79,0.4177215189873418,3753.1070886075954,80.91549295774648,3812065.65,6119114.58
