sales_agent,close_year,revenue,first_active_year,years_active,deals_worked,win_rate,next_year_revenue
Anna Herrold,2022,13475755.57,2022,0,248.0,0.32661290322580644,17880229.57
Anna Herrold,2023,17880229.57,2022,1,274.0,0.3795620437956204,23990214.47
Anna Herrold,2024,23990214.47,2022,2,323.0,0.3591331269349845,24720795.17
Anna Herrold,2025,24720795.17,2022,3,350.0,0.38285714285714284,4921364.91
Anna Herrold,2026,4921364.91,2022,4,0.0,0.0,
Boris Hendon,2022,15177989.38,2022,0,226.0,0.4026548672566372,18679477.99
Boris Hendon,2023,18679477.99,2022,1,279.0,0.3548387096774194,22232916.63
Boris Hendon,2024,22232916.63,2022,2,289.0,0.36678200692041524,19099595.0
Boris Hendon,2025,19099595.0,2022,3,299.0,0.3745819397993311,5273201.63
Boris Hendon,2026,5273201.63,2022,4,0.0,0.0,
Boris Nicholson,2022,15186419.35,2022,0,224.0,0.41964285714285715,19089945.1
Boris Nicholson,2023,19089945.1,2022,1,284.0,0.34507042253521125,18036772.94
Boris Nicholson,2024,18036772.94,2022,2,289.0,0.3217993079584775,23636337.39
Boris Nicholson,2025,23636337.39,2022,3,325.0,0.36615384615384616,2506298.2
Boris Nicholson,2026,2506298.2,2022,4,0.0,0.0,
Boris Purl,2022,11746430.52,2022,0,217.0,0.3640552995391705,19093445.28
Boris Purl,2023,19093445.28,2022,1,273.0,0.3956043956043956,24343692.68
Boris Purl,2024,24343692.68,2022,2,289.0,0.370242214532872,21805357.85
Boris Purl,2025,21805357.85,2022,3,319.0,0.34169278996865204,3916154.0
Boris Purl,2026,3916154.0,2022,4,0.0,0.0,
Boris Sturm,2022,14184166.72,2022,0,267.0,0.36704119850187267,23990091.38
Boris Sturm,2023,23990091.38,2022,1,299.0,0.3779264214046823,22609246.36
Boris Sturm,2024,22609246.36,2022,2,300.0,0.38333333333333336,24476947.35
Boris Sturm,2025,24476947.35,2022,3,316.0,0.40822784810126583,5552971.63
Boris Sturm,2026,5552971.63,2022,4,0.0,0.0,
Cassey Marconi,2022,14006940.05,2022,0,232.0,0.3922413793103448,22146506.64
Cassey Marconi,2023,22146506.64,2022,1,288.0,0.4027777777777778,23691484.21
Cassey Marconi,2024,23691484.21,2022,2,308.0,0.38311688311688313,27593488.39
Cassey Marconi,2025,27593488.39,2022,3,342.0,0.391812865497076,3142237.09
Cassey Marconi,2026,3142237.09,2022,4,0.0,0.0,
Cassey Nicholson,2022,15638358.64,2022,0,232.0,0.3922413793103448,22639616.26
Cassey Nicholson,2023,22639616.26,2022,1,281.0,0.3807829181494662,25344563.24
Cassey Nicholson,2024,25344563.24,2022,2,352.0,0.38920454545454547,24943199.7
Cassey Nicholson,2025,24943199.7,2022,3,329.0,0.3768996960486322,3692479.61
Cassey Nicholson,2026,3692479.61,2022,4,0.0,0.0,
Corliss Hillebrand,2022,13849523.13,2022,0,252.0,0.35714285714285715,19913796.36
Corliss Hillebrand,2023,19913796.36,2022,1,264.0,0.36742424242424243,25506470.76
Corliss Hillebrand,2024,25506470.76,2022,2,275.0,0.4509090909090909,22753414.66
Corliss Hillebrand,2025,22753414.66,2022,3,312.0,0.40384615384615385,3704846.55
Corliss Hillebrand,2026,3704846.55,2022,4,0.0,0.0,
Corliss Marconi,2022,12540164.91,2022,0,246.0,0.32926829268292684,18310107.75
Corliss Marconi,2023,18310107.75,2022,1,283.0,0.36395759717314485,20354629.44
Corliss Marconi,2024,20354629.44,2022,2,308.0,0.36038961038961037,25054824.55
Corliss Marconi,2025,25054824.55,2022,3,321.0,0.40809968847352024,4723799.2299999995
Corliss Marconi,2026,4723799.2299999995,2022,4,0.0,0.0,
Gaston Berthelot,2022,11775496.06,2022,0,238.0,0.29831932773109243,16723101.75
Gaston Berthelot,2023,16723101.75,2022,1,276.0,0.36231884057971014,28512413.5
Gaston Berthelot,2024,28512413.5,2022,2,334.0,0.437125748502994,23352704.15
Gaston Berthelot,2025,23352704.15,2022,3,304.0,0.40460526315789475,5242888.36
Gaston Berthelot,2026,5242888.36,2022,4,0.0,0.0,
Gaston Grunwald,2022,15034597.5,2022,0,245.0,0.363265306122449,20190978.79
Gaston Grunwald,2023,20190978.79,2022,1,316.0,0.3449367088607595,23208850.84
Gaston Grunwald,2024,23208850.84,2022,2,307.0,0.4201954397394137,28461056.01
Gaston Grunwald,2025,28461056.01,2022,3,360.0,0.35833333333333334,3514901.9499999997
Gaston Grunwald,2026,3514901.9499999997,2022,4,0.0,0.0,
Gaston Nicholson,2022,15716841.5,2022,0,226.0,0.41150442477876104,21157866.5
Gaston Nicholson,2023,21157866.5,2022,1,262.0,0.41603053435114506,20862362.2
Gaston Nicholson,2024,20862362.2,2022,2,311.0,0.3665594855305466,23519877.54
Gaston Nicholson,2025,23519877.54,2022,3,316.0,0.37658227848101267,3815318.1
Gaston Nicholson,2026,3815318.1,2022,4,0.0,0.0,
Gaston Purl,2022,11540326.4,2022,0,220.0,0.35454545454545455,22445098.77
Gaston Purl,2023,22445098.77,2022,1,275.0,0.41818181818181815,23137535.6
Gaston Purl,2024,23137535.6,2022,2,300.0,0.3933333333333333,22552393.01
Gaston Purl,2025,22552393.01,2022,3,308.0,0.37337662337662336,4575756.96
Gaston Purl,2026,4575756.96,2022,4,0.0,0.0,
Gaston Sturm,2022,16543949.040000001,2022,0,215.0,0.42790697674418604,18641732.77
Gaston Sturm,2023,18641732.77,2022,1,249.0,0.39759036144578314,23194359.98
Gaston Sturm,2024,23194359.98,2022,2,325.0,0.40307692307692305,23213853.52
Gaston Sturm,2025,23213853.52,2022,3,339.0,0.3392330383480826,3110693.85
Gaston Sturm,2026,3110693.85,2022,4,0.0,0.0,
Jonathan Berthelot,2022,13239987.68,2022,0,205.0,0.36097560975609755,18846560.27
Jonathan Berthelot,2023,18846560.27,2022,1,269.0,0.3680297397769517,25322554.86
Jonathan Berthelot,2024,25322554.86,2022,2,317.0,0.38801261829652994,22799525.0
Jonathan Berthelot,2025,22799525.0,2022,3,313.0,0.3610223642172524,3837060.77
Jonathan Berthelot,2026,3837060.77,2022,4,0.0,0.0,
Jonathan Everman,2022,11216072.879999999,2022,0,230.0,0.34782608695652173,20148558.5
Jonathan Everman,2023,20148558.5,2022,1,251.0,0.4302788844621514,26155768.03
Jonathan Everman,2024,26155768.03,2022,2,319.0,0.4012539184952978,24537877.86
Jonathan Everman,2025,24537877.86,2022,3,314.0,0.3853503184713376,5228281.88
Jonathan Everman,2026,5228281.88,2022,4,0.0,0.0,
Jonathan Hendon,2022,15287704.92,2022,0,226.0,0.37610619469026546,21302086.87
Jonathan Hendon,2023,21302086.87,2022,1,283.0,0.38869257950530034,21938066.4
Jonathan Hendon,2024,21938066.4,2022,2,347.0,0.34870317002881845,27349735.65
Jonathan Hendon,2025,27349735.65,2022,3,336.0,0.4107142857142857,4523892.23
Jonathan Hendon,2026,4523892.23,2022,4,0.0,0.0,
Jonathan Marconi,2022,14362716.2,2022,0,223.0,0.42152466367713004,18739312.36
Jonathan Marconi,2023,18739312.36,2022,1,275.0,0.39636363636363636,23013105.48
Jonathan Marconi,2024,23013105.48,2022,2,329.0,0.3434650455927052,22271152.81
Jonathan Marconi,2025,22271152.81,2022,3,301.0,0.3920265780730897,4347645.82
Jonathan Marconi,2026,4347645.82,2022,4,0.0,0.0,
Kami Cordell,2022,16733505.7,2022,0,229.0,0.3930131004366812,23281968.89
Kami Cordell,2023,23281968.89,2022,1,300.0,0.4066666666666667,21444651.75
Kami Cordell,2024,21444651.75,2022,2,307.0,0.34527687296416937,22589944.77
Kami Cordell,2025,22589944.77,2022,3,356.0,0.31179775280898875,3456598.68
Kami Cordell,2026,3456598.68,2022,4,0.0,0.0,
Kami Herrold,2022,16846155.69,2022,0,247.0,0.4008097165991903,19655865.48
Kami Herrold,2023,19655865.48,2022,1,272.0,0.4007352941176471,26722840.25
Kami Herrold,2024,26722840.25,2022,2,333.0,0.4024024024024024,26797497.55
Kami Herrold,2025,26797497.55,2022,3,348.0,0.3764367816091954,4345156.85
Kami Herrold,2026,4345156.85,2022,4,0.0,0.0,
Kary Marconi,2022,14435490.69,2022,0,247.0,0.32388663967611336,18870236.11
Kary Marconi,2023,18870236.11,2022,1,279.0,0.3942652329749104,22474053.83
Kary Marconi,2024,22474053.83,2022,2,299.0,0.38127090301003347,21805258.79
Kary Marconi,2025,21805258.79,2022,3,321.0,0.3707165109034268,4466259.3100000005
Kary Marconi,2026,4466259.3100000005,2022,4,0.0,0.0,
Marty Everman,2022,14331794.3,2022,0,231.0,0.4069264069264069,23383339.38
Marty Everman,2023,23383339.38,2022,1,271.0,0.41697416974169743,22953482.77
Marty Everman,2024,22953482.77,2022,2,309.0,0.39158576051779936,23449286.97
Marty Everman,2025,23449286.97,2022,3,320.0,0.375,5537417.96
Marty Everman,2026,5537417.96,2022,4,0.0,0.0,
Marty Marconi,2022,17145557.26,2022,0,238.0,0.42016806722689076,17348006.58
Marty Marconi,2023,17348006.58,2022,1,275.0,0.3490909090909091,21668019.15
Marty Marconi,2024,21668019.15,2022,2,306.0,0.3627450980392157,19170903.72
Marty Marconi,2025,19170903.72,2022,3,297.0,0.37037037037037035,4124868.96
Marty Marconi,2026,4124868.96,2022,4,0.0,0.0,
Marty Vinning,2022,13626461.99,2022,0,255.0,0.36470588235294116,20325523.98
Marty Vinning,2023,20325523.98,2022,1,279.0,0.3942652329749104,25884270.61
Marty Vinning,2024,25884270.61,2022,2,305.0,0.39672131147540984,26656286.4
Marty Vinning,2025,26656286.4,2022,3,355.0,0.38591549295774646,4344179.62
Marty Vinning,2026,4344179.62,2022,4,0.0,0.0,
Niesha Cordell,2022,14988305.18,2022,0,229.0,0.3799126637554585,20020836.91
Niesha Cordell,2023,20020836.91,2022,1,271.0,0.3763837638376384,19884846.61
Niesha Cordell,2024,19884846.61,2022,2,279.0,0.3763440860215054,26337244.27
Niesha Cordell,2025,26337244.27,2022,3,351.0,0.3646723646723647,4446869.89
Niesha Cordell,2026,4446869.89,2022,4,0.0,0.0,
Niesha Everman,2022,14735139.58,2022,0,247.0,0.3805668016194332,18311624.04
Niesha Everman,2023,18311624.04,2022,1,257.0,0.36964980544747084,22470341.87
Niesha Everman,2024,22470341.87,2022,2,334.0,0.36826347305389223,28314379.94
Niesha Everman,2025,28314379.94,2022,3,362.0,0.3756906077348066,4021631.03
Niesha Everman,2026,4021631.03,2022,4,0.0,0.0,
Niesha Gauna,2022,11178596.44,2022,0,217.0,0.3456221198156682,18903563.47
Niesha Gauna,2023,18903563.47,2022,1,284.0,0.3732394366197183,22032393.85
Niesha Gauna,2024,22032393.85,2022,2,318.0,0.37735849056603776,23427346.72
Niesha Gauna,2025,23427346.72,2022,3,333.0,0.3843843843843844,5160922.82
Niesha Gauna,2026,5160922.82,2022,4,0.0,0.0,
Niesha Hillebrand,2022,16244034.86,2022,0,231.0,0.3722943722943723,16694288.22
Niesha Hillebrand,2023,16694288.22,2022,1,285.0,0.34385964912280703,18918014.2
Niesha Hillebrand,2024,18918014.2,2022,2,297.0,0.3367003367003367,23902675.59
Niesha Hillebrand,2025,23902675.59,2022,3,295.0,0.36610169491525424,3423775.21
Niesha Hillebrand,2026,3423775.21,2022,4,0.0,0.0,
Vernita Cordell,2022,15613050.51,2022,0,232.0,0.4267241379310345,20771341.16
Vernita Cordell,2023,20771341.16,2022,1,265.0,0.4075471698113208,23511794.9
Vernita Cordell,2024,23511794.9,2022,2,306.0,0.40522875816993464,27463924.11
Vernita Cordell,2025,27463924.11,2022,3,330.0,0.3787878787878788,3340765.32
Vernita Cordell,2026,3340765.32,2022,4,0.0,0.0,
Vernita Everman,2022,15326582.47,2022,0,232.0,0.3793103448275862,19006356.7
Vernita Everman,2023,19006356.7,2022,1,279.0,0.3548387096774194,19669645.74
Vernita Everman,2024,19669645.74,2022,2,303.0,0.37293729372937295,23633932.7
Vernita Everman,2025,23633932.7,2022,3,323.0,0.34674922600619196,3708125.19
Vernita Everman,2026,3708125.19,2022,4,0.0,0.0,
Wilburn Grunwald,2022,12385036.3,2022,0,212.0,0.38207547169811323,21121561.169999998
Wilburn Grunwald,2023,21121561.169999998,2022,1,279.0,0.3870967741935484,17752861.03
